symbol	name	entrez_id	ensemble_id	go_class	go_name	go_id	adjP
NFE2	nuclear factor (erythroid-derived 2), 45kDa	4778	ENSG00000123405	biological process	ossification	GO:0001503	0.0004
WNT4	wingless-type MMTV integration site family, member 4	54361	ENSG00000162552	biological process	ossification	GO:0001503	0.0004
TNFSF11	tumor necrosis factor (ligand) superfamily, member 11	8600	ENSG00000120659	biological process	ossification	GO:0001503	0.0004
CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	1499	ENSG00000168036	biological process	ossification	GO:0001503	0.0004
DMP1	dentin matrix acidic phosphoprotein 1	1758	ENSG00000152592	biological process	ossification	GO:0001503	0.0004
DSPP	dentin sialophosphoprotein	1834	ENSG00000152591	biological process	ossification	GO:0001503	0.0004
SP1	Sp1 transcription factor	6667	ENSG00000185591	biological process	ossification	GO:0001503	0.0004
DLX5	distal-less homeobox 5	1749	ENSG00000105880	biological process	ossification	GO:0001503	0.0004
ESR1	estrogen receptor 1	2099	ENSG00000091831	biological process	ossification	GO:0001503	0.0004
IBSP	integrin-binding sialoprotein	3381	ENSG00000029559	biological process	ossification	GO:0001503	0.0004
MEF2C	myocyte enhancer factor 2C	4208	ENSG00000081189	biological process	ossification	GO:0001503	0.0004
SPP1	secreted phosphoprotein 1	6696	ENSG00000118785	biological process	ossification	GO:0001503	0.0004
SP7	Sp7 transcription factor	121340	ENSG00000170374	biological process	ossification	GO:0001503	0.0004
IFITM5	interferon induced transmembrane protein 5	387733	ENSG00000206013	biological process	ossification	GO:0001503	0.0004
COL11A1	collagen, type XI, alpha 1	1301	ENSG00000060718	biological process	ossification	GO:0001503	0.0004
IFITM1	interferon induced transmembrane protein 1	8519	ENSG00000185885	biological process	ossification	GO:0001503	0.0004
FOXC2	forkhead box C2 (MFH-1, mesenchyme forkhead 1)	2303	ENSG00000176692	biological process	ossification	GO:0001503	0.0004
RUNX2	runt-related transcription factor 2	860	ENSG00000124813	biological process	ossification	GO:0001503	0.0004
SOST	sclerostin	50964	ENSG00000167941	biological process	ossification	GO:0001503	0.0004
PTHLH	parathyroid hormone-like hormone	5744	ENSG00000087494	biological process	ossification	GO:0001503	0.0004
FIGNL1	fidgetin-like 1	63979	ENSG00000132436	biological process	ossification	GO:0001503	0.0004
LRP4	low density lipoprotein receptor-related protein 4	4038	ENSG00000134569	biological process	ossification	GO:0001503	0.0004
MEPE	matrix extracellular phosphoglycoprotein	56955	ENSG00000152595	biological process	ossification	GO:0001503	0.0004
LRP5	low density lipoprotein receptor-related protein 5	4041	ENSG00000162337	biological process	ossification	GO:0001503	0.0004
PKDCC	protein kinase domain containing, cytoplasmic homolog (mouse)	91461	ENSG00000162878	biological process	ossification	GO:0001503	0.0004
LTBP3	latent transforming growth factor beta binding protein 3	4054	ENSG00000168056	biological process	ossification	GO:0001503	0.0004
HDAC5	histone deacetylase 5	10014	ENSG00000108840	biological process	ossification	GO:0001503	0.0004
SOX9	SRY (sex determining region Y)-box 9	6662	ENSG00000125398	biological process	ossification	GO:0001503	0.0004
FOXC2	forkhead box C2 (MFH-1, mesenchyme forkhead 1)	2303	ENSG00000176692	biological process	embryo development	GO:0009790	0.0016
RSPO3	R-spondin 3	84870	ENSG00000146374	biological process	embryo development	GO:0009790	0.0016
FOXL1	forkhead box L1	2300	ENSG00000176678	biological process	embryo development	GO:0009790	0.0016
SOX4	SRY (sex determining region Y)-box 4	6659	ENSG00000124766	biological process	embryo development	GO:0009790	0.0016
MKKS	McKusick-Kaufman syndrome	8195	ENSG00000125863	biological process	embryo development	GO:0009790	0.0016
PKDCC	protein kinase domain containing, cytoplasmic homolog (mouse)	91461	ENSG00000162878	biological process	embryo development	GO:0009790	0.0016
RARRES2	retinoic acid receptor responder (tazarotene induced) 2	5919	ENSG00000106538	biological process	embryo development	GO:0009790	0.0016
LRP5	low density lipoprotein receptor-related protein 5	4041	ENSG00000162337	biological process	embryo development	GO:0009790	0.0016
HOXC9	homeobox C9	3225	ENSG00000180806	biological process	embryo development	GO:0009790	0.0016
RPA1	replication protein A1, 70kDa	6117	ENSG00000132383	biological process	embryo development	GO:0009790	0.0016
PSMC3	proteasome (prosome, macropain) 26S subunit, ATPase, 3	5702	ENSG00000165916	biological process	embryo development	GO:0009790	0.0016
SYVN1	synovial apoptosis inhibitor 1, synoviolin	84447	ENSG00000162298	biological process	embryo development	GO:0009790	0.0016
WNT4	wingless-type MMTV integration site family, member 4	54361	ENSG00000162552	biological process	embryo development	GO:0009790	0.0016
WNT5B	wingless-type MMTV integration site family, member 5B	81029	ENSG00000111186	biological process	embryo development	GO:0009790	0.0016
HOXC5	homeobox C5	3222	ENSG00000172789	biological process	embryo development	GO:0009790	0.0016
DUSP3	dual specificity phosphatase 3	1845	ENSG00000108861	biological process	embryo development	GO:0009790	0.0016
SFRP4	secreted frizzled-related protein 4	6424	ENSG00000106483	biological process	embryo development	GO:0009790	0.0016
AXIN1	axin 1	8312	ENSG00000103126	biological process	embryo development	GO:0009790	0.0016
PKD2	polycystic kidney disease 2 (autosomal dominant)	5311	ENSG00000118762	biological process	embryo development	GO:0009790	0.0016
WNT8B	wingless-type MMTV integration site family, member 8B	7479	ENSG00000075290	biological process	embryo development	GO:0009790	0.0016
RUNX1	runt-related transcription factor 1	861	ENSG00000159216	biological process	embryo development	GO:0009790	0.0016
HOXC4	homeobox C4	3221	ENSG00000198353	biological process	embryo development	GO:0009790	0.0016
RARG	retinoic acid receptor, gamma	5916	ENSG00000172819	biological process	embryo development	GO:0009790	0.0016
COBL	cordon-bleu homolog (mouse)	23242	ENSG00000106078	biological process	embryo development	GO:0009790	0.0016
MEF2C	myocyte enhancer factor 2C	4208	ENSG00000081189	biological process	embryo development	GO:0009790	0.0016
WLS	wntless homolog (Drosophila)	79971	ENSG00000116729	biological process	embryo development	GO:0009790	0.0016
SALL1	sal-like 1 (Drosophila)	6299	ENSG00000103449	biological process	embryo development	GO:0009790	0.0016
MEOX1	mesenchyme homeobox 1	4222	ENSG00000005102	biological process	embryo development	GO:0009790	0.0016
DLX5	distal-less homeobox 5	1749	ENSG00000105880	biological process	embryo development	GO:0009790	0.0016
BCR	breakpoint cluster region	613	ENSG00000186716	biological process	embryo development	GO:0009790	0.0016
GRN	granulin	2896	ENSG00000030582	biological process	embryo development	GO:0009790	0.0016
CLIC5	chloride intracellular channel 5	53405	ENSG00000112782	biological process	embryo development	GO:0009790	0.0016
RUNX2	runt-related transcription factor 2	860	ENSG00000124813	biological process	embryo development	GO:0009790	0.0016
INSIG2	insulin induced gene 2	51141	ENSG00000125629	biological process	embryo development	GO:0009790	0.0016
TSC2	tuberous sclerosis 2	7249	ENSG00000103197	biological process	embryo development	GO:0009790	0.0016
DEAF1	deformed epidermal autoregulatory factor 1 (Drosophila)	10522	ENSG00000177030	biological process	embryo development	GO:0009790	0.0016
LRP4	low density lipoprotein receptor-related protein 4	4038	ENSG00000134569	biological process	embryo development	GO:0009790	0.0016
SOX9	SRY (sex determining region Y)-box 9	6662	ENSG00000125398	biological process	embryo development	GO:0009790	0.0016
MAPK8IP3	mitogen-activated protein kinase 8 interacting protein 3	23162	ENSG00000138834	biological process	embryo development	GO:0009790	0.0016
COL11A1	collagen, type XI, alpha 1	1301	ENSG00000060718	biological process	embryo development	GO:0009790	0.0016
PLCD3	phospholipase C, delta 3	113026	ENSG00000161714	biological process	embryo development	GO:0009790	0.0016
FZD2	frizzled family receptor 2	2535	ENSG00000180340	biological process	embryo development	GO:0009790	0.0016
HOXC6	homeobox C6	3223	ENSG00000197757	biological process	embryo development	GO:0009790	0.0016
SULF1	sulfatase 1	23213	ENSG00000137573	biological process	embryo development	GO:0009790	0.0016
RIC8A	resistance to inhibitors of cholinesterase 8 homolog A (C. elegans)	60626	ENSG00000177963	biological process	embryo development	GO:0009790	0.0016
NOS3	nitric oxide synthase 3 (endothelial cell)	4846	ENSG00000164867	biological process	embryo development	GO:0009790	0.0016
SP1	Sp1 transcription factor	6667	ENSG00000185591	biological process	embryo development	GO:0009790	0.0016
SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	6598	ENSG00000099956	biological process	embryo development	GO:0009790	0.0016
HOXC10	homeobox C10	3226	ENSG00000180818	biological process	embryo development	GO:0009790	0.0016
WNT16	wingless-type MMTV integration site family, member 16	51384	ENSG00000002745	biological process	embryo development	GO:0009790	0.0016
HOXC11	homeobox C11	3227	ENSG00000123388	biological process	embryo development	GO:0009790	0.0016
SOX6	SRY (sex determining region Y)-box 6	55553	ENSG00000110693	biological process	embryo development	GO:0009790	0.0016
CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	1499	ENSG00000168036	biological process	embryo development	GO:0009790	0.0016
EN1	engrailed homeobox 1	2019	ENSG00000163064	biological process	embryo development	GO:0009790	0.0016
INPP5K	inositol polyphosphate-5-phosphatase K	51763	ENSG00000132376	biological process	embryo development	GO:0009790	0.0016
RRN3	RRN3 RNA polymerase I transcription factor homolog (S. cerevisiae)	54700	ENSG00000085721	biological process	embryo development	GO:0009790	0.0016
CDK5	cyclin-dependent kinase 5	1020	ENSG00000164885	biological process	embryo development	GO:0009790	0.0016
DLX6	distal-less homeobox 6	1750	ENSG00000006377	biological process	embryo development	GO:0009790	0.0016
CDC42	cell division cycle 42 (GTP binding protein, 25kDa)	998	ENSG00000070831	biological process	canonical Wnt receptor signaling pathway	GO:0060070	0.0017
RARG	retinoic acid receptor, gamma	5916	ENSG00000172819	biological process	canonical Wnt receptor signaling pathway	GO:0060070	0.0017
WNT16	wingless-type MMTV integration site family, member 16	51384	ENSG00000002745	biological process	canonical Wnt receptor signaling pathway	GO:0060070	0.0017
WNT8B	wingless-type MMTV integration site family, member 8B	7479	ENSG00000075290	biological process	canonical Wnt receptor signaling pathway	GO:0060070	0.0017
DLX5	distal-less homeobox 5	1749	ENSG00000105880	biological process	canonical Wnt receptor signaling pathway	GO:0060070	0.0017
WNT5B	wingless-type MMTV integration site family, member 5B	81029	ENSG00000111186	biological process	canonical Wnt receptor signaling pathway	GO:0060070	0.0017
AXIN1	axin 1	8312	ENSG00000103126	biological process	canonical Wnt receptor signaling pathway	GO:0060070	0.0017
SFRP4	secreted frizzled-related protein 4	6424	ENSG00000106483	biological process	canonical Wnt receptor signaling pathway	GO:0060070	0.0017
CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	1499	ENSG00000168036	biological process	canonical Wnt receptor signaling pathway	GO:0060070	0.0017
WNT4	wingless-type MMTV integration site family, member 4	54361	ENSG00000162552	biological process	canonical Wnt receptor signaling pathway	GO:0060070	0.0017
SOX9	SRY (sex determining region Y)-box 9	6662	ENSG00000125398	biological process	canonical Wnt receptor signaling pathway	GO:0060070	0.0017
RSPO3	R-spondin 3	84870	ENSG00000146374	biological process	canonical Wnt receptor signaling pathway	GO:0060070	0.0017
PFDN5	prefoldin subunit 5	5204	ENSG00000123349	biological process	canonical Wnt receptor signaling pathway	GO:0060070	0.0017
LGR4	leucine-rich repeat containing G protein-coupled receptor 4	55366	ENSG00000205213	biological process	canonical Wnt receptor signaling pathway	GO:0060070	0.0017
WLS	wntless homolog (Drosophila)	79971	ENSG00000116729	biological process	canonical Wnt receptor signaling pathway	GO:0060070	0.0017
LRP4	low density lipoprotein receptor-related protein 4	4038	ENSG00000134569	biological process	canonical Wnt receptor signaling pathway	GO:0060070	0.0017
SOST	sclerostin	50964	ENSG00000167941	biological process	canonical Wnt receptor signaling pathway	GO:0060070	0.0017
LRP5	low density lipoprotein receptor-related protein 5	4041	ENSG00000162337	biological process	canonical Wnt receptor signaling pathway	GO:0060070	0.0017
SOX4	SRY (sex determining region Y)-box 4	6659	ENSG00000124766	biological process	canonical Wnt receptor signaling pathway	GO:0060070	0.0017
FZD2	frizzled family receptor 2	2535	ENSG00000180340	biological process	canonical Wnt receptor signaling pathway	GO:0060070	0.0017
RUNX2	runt-related transcription factor 2	860	ENSG00000124813	biological process	chondrocyte differentiation	GO:0002062	0.0018
WNT8B	wingless-type MMTV integration site family, member 8B	7479	ENSG00000075290	biological process	Wnt receptor signaling pathway	GO:0016055	0.0018
GRB10	growth factor receptor-bound protein 10	2887	ENSG00000106070	biological process	Wnt receptor signaling pathway	GO:0016055	0.0018
DLX5	distal-less homeobox 5	1749	ENSG00000105880	biological process	Wnt receptor signaling pathway	GO:0016055	0.0018
WNT16	wingless-type MMTV integration site family, member 16	51384	ENSG00000002745	biological process	Wnt receptor signaling pathway	GO:0016055	0.0018
RARG	retinoic acid receptor, gamma	5916	ENSG00000172819	biological process	Wnt receptor signaling pathway	GO:0016055	0.0018
MEF2C	myocyte enhancer factor 2C	4208	ENSG00000081189	biological process	chondrocyte differentiation	GO:0002062	0.0018
CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	1499	ENSG00000168036	biological process	chondrocyte differentiation	GO:0002062	0.0018
COL11A1	collagen, type XI, alpha 1	1301	ENSG00000060718	biological process	chondrocyte differentiation	GO:0002062	0.0018
WNT5B	wingless-type MMTV integration site family, member 5B	81029	ENSG00000111186	biological process	chondrocyte differentiation	GO:0002062	0.0018
SOX9	SRY (sex determining region Y)-box 9	6662	ENSG00000125398	biological process	chondrocyte differentiation	GO:0002062	0.0018
SULF1	sulfatase 1	23213	ENSG00000137573	biological process	chondrocyte differentiation	GO:0002062	0.0018
PKDCC	protein kinase domain containing, cytoplasmic homolog (mouse)	91461	ENSG00000162878	biological process	chondrocyte differentiation	GO:0002062	0.0018
RARG	retinoic acid receptor, gamma	5916	ENSG00000172819	biological process	chondrocyte differentiation	GO:0002062	0.0018
LTBP3	latent transforming growth factor beta binding protein 3	4054	ENSG00000168056	biological process	chondrocyte differentiation	GO:0002062	0.0018
SOX6	SRY (sex determining region Y)-box 6	55553	ENSG00000110693	biological process	chondrocyte differentiation	GO:0002062	0.0018
AXIN1	axin 1	8312	ENSG00000103126	biological process	Wnt receptor signaling pathway	GO:0016055	0.0018
PTHLH	parathyroid hormone-like hormone	5744	ENSG00000087494	biological process	chondrocyte differentiation	GO:0002062	0.0018
SFRP4	secreted frizzled-related protein 4	6424	ENSG00000106483	biological process	Wnt receptor signaling pathway	GO:0016055	0.0018
WNT5B	wingless-type MMTV integration site family, member 5B	81029	ENSG00000111186	biological process	Wnt receptor signaling pathway	GO:0016055	0.0018
CDC42	cell division cycle 42 (GTP binding protein, 25kDa)	998	ENSG00000070831	biological process	Wnt receptor signaling pathway	GO:0016055	0.0018
SALL1	sal-like 1 (Drosophila)	6299	ENSG00000103449	biological process	Wnt receptor signaling pathway	GO:0016055	0.0018
SOST	sclerostin	50964	ENSG00000167941	biological process	Wnt receptor signaling pathway	GO:0016055	0.0018
LGR4	leucine-rich repeat containing G protein-coupled receptor 4	55366	ENSG00000205213	biological process	Wnt receptor signaling pathway	GO:0016055	0.0018
TSC2	tuberous sclerosis 2	7249	ENSG00000103197	biological process	Wnt receptor signaling pathway	GO:0016055	0.0018
LRP4	low density lipoprotein receptor-related protein 4	4038	ENSG00000134569	biological process	Wnt receptor signaling pathway	GO:0016055	0.0018
SOX9	SRY (sex determining region Y)-box 9	6662	ENSG00000125398	biological process	Wnt receptor signaling pathway	GO:0016055	0.0018
SULF1	sulfatase 1	23213	ENSG00000137573	biological process	Wnt receptor signaling pathway	GO:0016055	0.0018
LRP5	low density lipoprotein receptor-related protein 5	4041	ENSG00000162337	biological process	Wnt receptor signaling pathway	GO:0016055	0.0018
WLS	wntless homolog (Drosophila)	79971	ENSG00000116729	biological process	Wnt receptor signaling pathway	GO:0016055	0.0018
SOX4	SRY (sex determining region Y)-box 4	6659	ENSG00000124766	biological process	Wnt receptor signaling pathway	GO:0016055	0.0018
FZD2	frizzled family receptor 2	2535	ENSG00000180340	biological process	Wnt receptor signaling pathway	GO:0016055	0.0018
FOXL1	forkhead box L1	2300	ENSG00000176678	biological process	Wnt receptor signaling pathway	GO:0016055	0.0018
RSPO3	R-spondin 3	84870	ENSG00000146374	biological process	Wnt receptor signaling pathway	GO:0016055	0.0018
PFDN5	prefoldin subunit 5	5204	ENSG00000123349	biological process	Wnt receptor signaling pathway	GO:0016055	0.0018
WNT4	wingless-type MMTV integration site family, member 4	54361	ENSG00000162552	biological process	Wnt receptor signaling pathway	GO:0016055	0.0018
CALCOCO1	calcium binding and coiled-coil domain 1	57658	ENSG00000012822	biological process	Wnt receptor signaling pathway	GO:0016055	0.0018
HIC1	hypermethylated in cancer 1	3090	ENSG00000177374	biological process	Wnt receptor signaling pathway	GO:0016055	0.0018
CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	1499	ENSG00000168036	biological process	Wnt receptor signaling pathway	GO:0016055	0.0018
WNT5B	wingless-type MMTV integration site family, member 5B	81029	ENSG00000111186	biological process	anterior/posterior pattern specification	GO:0009952	0.0024
HOXC11	homeobox C11	3227	ENSG00000123388	biological process	anterior/posterior pattern specification	GO:0009952	0.0024
WNT8B	wingless-type MMTV integration site family, member 8B	7479	ENSG00000075290	biological process	anterior/posterior pattern specification	GO:0009952	0.0024
WNT16	wingless-type MMTV integration site family, member 16	51384	ENSG00000002745	biological process	anterior/posterior pattern specification	GO:0009952	0.0024
HOXC10	homeobox C10	3226	ENSG00000180818	biological process	anterior/posterior pattern specification	GO:0009952	0.0024
COBL	cordon-bleu homolog (mouse)	23242	ENSG00000106078	biological process	anterior/posterior pattern specification	GO:0009952	0.0024
HOXC13	homeobox C13	3229	ENSG00000123364	biological process	anterior/posterior pattern specification	GO:0009952	0.0024
AXIN1	axin 1	8312	ENSG00000103126	biological process	anterior/posterior pattern specification	GO:0009952	0.0024
HOXC4	homeobox C4	3221	ENSG00000198353	biological process	anterior/posterior pattern specification	GO:0009952	0.0024
HOXC5	homeobox C5	3222	ENSG00000172789	biological process	anterior/posterior pattern specification	GO:0009952	0.0024
RARG	retinoic acid receptor, gamma	5916	ENSG00000172819	biological process	anterior/posterior pattern specification	GO:0009952	0.0024
WNT4	wingless-type MMTV integration site family, member 4	54361	ENSG00000162552	biological process	anterior/posterior pattern specification	GO:0009952	0.0024
EN1	engrailed homeobox 1	2019	ENSG00000163064	biological process	anterior/posterior pattern specification	GO:0009952	0.0024
FOXC2	forkhead box C2 (MFH-1, mesenchyme forkhead 1)	2303	ENSG00000176692	biological process	anterior/posterior pattern specification	GO:0009952	0.0024
HOXC6	homeobox C6	3223	ENSG00000197757	biological process	anterior/posterior pattern specification	GO:0009952	0.0024
LRP5	low density lipoprotein receptor-related protein 5	4041	ENSG00000162337	biological process	anterior/posterior pattern specification	GO:0009952	0.0024
HOXC9	homeobox C9	3225	ENSG00000180806	biological process	anterior/posterior pattern specification	GO:0009952	0.0024
WLS	wntless homolog (Drosophila)	79971	ENSG00000116729	biological process	anterior/posterior pattern specification	GO:0009952	0.0024
HOXC8	homeobox C8	3224	ENSG00000037965	biological process	anterior/posterior pattern specification	GO:0009952	0.0024
MEOX1	mesenchyme homeobox 1	4222	ENSG00000005102	biological process	anterior/posterior pattern specification	GO:0009952	0.0024
CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	1499	ENSG00000168036	biological process	anterior/posterior pattern specification	GO:0009952	0.0024
SOX6	SRY (sex determining region Y)-box 6	55553	ENSG00000110693	biological process	regulation of chondrocyte differentiation	GO:0032330	0.003
RARG	retinoic acid receptor, gamma	5916	ENSG00000172819	biological process	regulation of chondrocyte differentiation	GO:0032330	0.003
LTBP3	latent transforming growth factor beta binding protein 3	4054	ENSG00000168056	biological process	regulation of chondrocyte differentiation	GO:0032330	0.003
PKDCC	protein kinase domain containing, cytoplasmic homolog (mouse)	91461	ENSG00000162878	biological process	regulation of chondrocyte differentiation	GO:0032330	0.003
PTHLH	parathyroid hormone-like hormone	5744	ENSG00000087494	biological process	regulation of chondrocyte differentiation	GO:0032330	0.003
CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	1499	ENSG00000168036	biological process	regulation of chondrocyte differentiation	GO:0032330	0.003
RUNX2	runt-related transcription factor 2	860	ENSG00000124813	biological process	regulation of chondrocyte differentiation	GO:0032330	0.003
SOX9	SRY (sex determining region Y)-box 9	6662	ENSG00000125398	biological process	regulation of chondrocyte differentiation	GO:0032330	0.003
AXIN1	axin 1	8312	ENSG00000103126	biological process	organ morphogenesis	GO:0009887	0.0031
HOXC9	homeobox C9	3225	ENSG00000180806	biological process	organ morphogenesis	GO:0009887	0.0031
LRP5	low density lipoprotein receptor-related protein 5	4041	ENSG00000162337	biological process	organ morphogenesis	GO:0009887	0.0031
MKKS	McKusick-Kaufman syndrome	8195	ENSG00000125863	biological process	organ morphogenesis	GO:0009887	0.0031
BCR	breakpoint cluster region	613	ENSG00000186716	biological process	organ morphogenesis	GO:0009887	0.0031
SOX4	SRY (sex determining region Y)-box 4	6659	ENSG00000124766	biological process	organ morphogenesis	GO:0009887	0.0031
FOXL1	forkhead box L1	2300	ENSG00000176678	biological process	organ morphogenesis	GO:0009887	0.0031
MYBPC3	myosin binding protein C, cardiac	4607	ENSG00000134571	biological process	organ morphogenesis	GO:0009887	0.0031
WNT4	wingless-type MMTV integration site family, member 4	54361	ENSG00000162552	biological process	organ morphogenesis	GO:0009887	0.0031
SALL1	sal-like 1 (Drosophila)	6299	ENSG00000103449	biological process	organ morphogenesis	GO:0009887	0.0031
PKD2	polycystic kidney disease 2 (autosomal dominant)	5311	ENSG00000118762	biological process	organ morphogenesis	GO:0009887	0.0031
RARG	retinoic acid receptor, gamma	5916	ENSG00000172819	biological process	organ morphogenesis	GO:0009887	0.0031
TNFRSF11B	tumor necrosis factor receptor superfamily, member 11b	4982	ENSG00000164761	biological process	organ morphogenesis	GO:0009887	0.0031
DLX5	distal-less homeobox 5	1749	ENSG00000105880	biological process	organ morphogenesis	GO:0009887	0.0031
RUNX1	runt-related transcription factor 1	861	ENSG00000159216	biological process	organ morphogenesis	GO:0009887	0.0031
HOXC4	homeobox C4	3221	ENSG00000198353	biological process	organ morphogenesis	GO:0009887	0.0031
FGFRL1	fibroblast growth factor receptor-like 1	53834	ENSG00000127418	biological process	organ morphogenesis	GO:0009887	0.0031
ESR1	estrogen receptor 1	2099	ENSG00000091831	biological process	organ morphogenesis	GO:0009887	0.0031
HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	3265	ENSG00000174775	biological process	organ morphogenesis	GO:0009887	0.0031
HOXC13	homeobox C13	3229	ENSG00000123364	biological process	organ morphogenesis	GO:0009887	0.0031
TMEM176B	transmembrane protein 176B	28959	ENSG00000106565	biological process	organ morphogenesis	GO:0009887	0.0031
MEF2C	myocyte enhancer factor 2C	4208	ENSG00000081189	biological process	organ morphogenesis	GO:0009887	0.0031
SP1	Sp1 transcription factor	6667	ENSG00000185591	biological process	organ morphogenesis	GO:0009887	0.0031
WNT8B	wingless-type MMTV integration site family, member 8B	7479	ENSG00000075290	biological process	organ morphogenesis	GO:0009887	0.0031
IDUA	iduronidase, alpha-L-	3425	ENSG00000127415	biological process	organ morphogenesis	GO:0009887	0.0031
FOXC2	forkhead box C2 (MFH-1, mesenchyme forkhead 1)	2303	ENSG00000176692	biological process	organ morphogenesis	GO:0009887	0.0031
ETV4	ets variant 4	2118	ENSG00000175832	biological process	organ morphogenesis	GO:0009887	0.0031
CLIC5	chloride intracellular channel 5	53405	ENSG00000112782	biological process	organ morphogenesis	GO:0009887	0.0031
RUNX2	runt-related transcription factor 2	860	ENSG00000124813	biological process	organ morphogenesis	GO:0009887	0.0031
